,a,0,b,2,n,10,f(x)
,i,x_i,f(x_i)
,0,0.0,1.0
,1,0.2,2.3488514580003264
,2,0.4,2.572111547657362
,3,0.6000000000000001,2.679586471162513
,4,0.8,2.714074303039595
,5,1.0,2.718281828459045
,6,1.2000000000000002,2.7214073137184815
,7,1.4000000000000001,2.7399999775977535
,8,1.6,2.7826024856152327
,9,1.8,2.8536072945344086
,10,2.0,1.4778112197861302
,Sum :,26.608333899570848
,Tn :,2.660833389957085
